Topic,Qualification
Flutter Developer,"1. Flutter development
2. 1 year experience (preferred)
3. Software Development industry
4. Full-time, Part-time
5. ₹20,000.00 - ₹40,000.00 monthly salary
6. Flexible schedule
7. Food allowance
8. Day shift
9. Joining bonus
10. Overtime pay
11. Temporarily remote work due to COVID-19
12. Supplemental pay: joining bonus, overtime pay
13. Housing rent subsidy (if applicable)"
Django Developer,"* Python: API development (REST, RPC)
* Django, Flask: API Frameworks
* Linux environment: Program efficiency
* Multitasking: High accuracy, attention to detail
* SQL
* JSON: Preferred
* PyUnit: Automated unit testing."
Machine Learning,"1. Machine Learning and Deep Learning algorithm development
2. Data collection and analysis
3. Model development, assessment, and validation
4. Solid understanding of statistics and mathematics
5. 3 years hands-on experience in ML model development
6. Python programming
7. Big data experience
8. Spark experience
9. Experience with Deep Learning frameworks (PyTorch, TensorFlow, Keras)
10. Computer Science, Mathematics, or equivalent degree
11. Clean and concise code writing
12. Team player
13. Positive attitude
14. Flexible and decisive in ambiguous environments
15. Prior software development or data engineering experience - advantage
16. Telecommunication domain and/or Fraud prevention experience - advantage."
iOS Developer,"* iOS experience
* Objective-C, Cocoa Touch
* Core Data, Core Animation, Core Graphics, Core Text
* Understanding of mobile networking, concurrency, threading
* Internationalized apps development
* Experience with iOS frameworks and third-party libraries
* Mobile development life cycle
* Strong problem-solving skills
* Familiarity with mobile landscape, architectures, trends, and emerging technologies."
Full Stack Developer,"1. Full stack development
2. React, J Native, key framework
3. Web mobile application development
4. Agile environment
5. 5+ years hands-on experience in web development
6. 2+ years experience with React
7. Strong experience with various J library frameworks (Redux, Angular, Vue)
8. Expert understanding of Javascript, HTML, CS, Restful APIs, HTTP networking
9. Strong front-end development skills, accessibility, extensibility, client-side computing
10. Object-oriented design pattern, Sass/Less/Postcss
11. Strong problem-solving skills
12. Self-motivated, disciplined, able to meet deadlines
13. Excellent written and oral communication skills
14. Ability to work in a cross-functional team
15. Strong analytical skills, ability to resolve conflict constructively
16. Experience with automation, testing, quality assurance
17. Passion for user experience design and usability."
Java Developer,"1. Java Development: design, develop, test, maintain, enhance systems
2. Web services: WSDL, Soap, Restful
3. Relational databases
4. Coding and debugging
5. MVC architecture
6. C#, .NET, .NET Core, HTML5, CSS3, MsSQL, MySQL
7. Microsoft IIS
8. SYSPRO ERP package (optional)
9. Source code management
10. Continuous integration
11. High-quality code and configuration
12. Problem-solving and decision-making abilities
13. Self-starter, independent worker
14. Minimum 2 years experience with mentioned tools and technologies
15. Bachelor's Degree in Computer Science or related field (optional)
16. Contract position
17. No remote work
18. 2 years minimum software development experience.

This list contains the essential skills and qualifications needed for a Java Developer position. It is important to note that the list does not include soft skills, marketing language, or non-essential information."
Full Stack Developer,"1. Senior Full Stack Developer
2. Back-end: strong, Scalable system design, Analysis, Technology standards
3. Front-end: strong, SPA development, UI/UX, Responsive design, JavaScript, CS, HTML
4. Technology: Cutting-edge, Next-gen business travel solution, MongoDB, Elasticsearch, Redis, Node.js, Java, REST APIs
5. Experience: Min. 2 years, Node.js, Java, NOSQL solutions, React/Angular, Rich large-scale web applications
6. Education: B.Sc degree, Computer Science or relevant field
7. Agile software development process
8. Self-motivated, Independent learner, Tier 3 production support, Passion for technology
9. Eligible: Valid passport, able to travel to Israel
10. Skills: Scalability, Technology experimentation, Process implementation, API development, Back-end services."
JavaScript Developer,"* ReactJS
* NodeJS
* Azure Functions
* GraphQL
* JavaScript (implied by job title)
* HTML5
* CSS3
* REST
* Strong coding experience
* Clear communication

Note: Since the job title is already ""JavaScript Developer,"" the keyword ""JavaScript"" is not included in the output to keep the list as concise as possible."
DevOps Engineer,"1. Manage/support automation rollout and scalability
2. Ensure automation services handle growth
3. Measure and optimize system health and performance
4. Configure, tune, and troubleshoot automations
5. Strong scripting: Bash, Ruby, Python, Java
6. Experience with automation tools: Puppet, Chef, Cloudify, CFEngine (Puppet preferred)
7. Linux & Windows OS experience and troubleshooting
8. Application debugging, performance, scalability, capacity planning
9. Manage automation system lifecycle
10. Improve performance health checks and ""self-healing"" capabilities
11. Drive automation tools roadmap
12. Adopt Infrastructure as Code
13. Partner with R&D teams
14. Architect solutions for cloud infrastructure
15. Experience with tools: Urban Code, Hadoop, Tomcat, Mule, OpenAM, Apache
16. Familiarity with load balancers (F5)
17. Networking theory and protocols (TCP/IP, HTTP, NTP, DNS)
18. Experience with hardware components."
Software Engineer,"1. Senior Software Engineer
2. RED Tintri Storage engineering team
3. REST API design and implementation
4. Strong experience in C/C++ for Linux/Unix
5. Experience in Python, Go
6. Git, Gerrit, Jenkins
7. Minimum 7 years of software development experience
8. Excellent written/verbal communication skills (English)
9. Cloud or on-premises system deployment
10. VM and container deployment
11. Control or data plane API for systems' management
12. BS or MS in computer engineering, computer science, or related technical field."
