id,name,group
1,.net,FAL
2,.net 4.5+,FAL
3,.net core,FAL
4,.net entity framework,FAL
5,.net framework,FAL
6,.net framework/core,FAL
7,.net full/core,FAL
8,.net mvc,FAL
9,.net web api,FAL
10,12c,DB
11,3 tier applications development,TAS
12,3d rendering,TAS
13,3des,TAS
14,3rd party integrations,TAS
15,3rd party web services,TAS
16,802.11 standards,TAS
17,802.11ac,TAS
18,802.11n,TAS
19,802.1x,TAS
20,a+,TAS
21,a/b testing,TAS
22,a10 load balancers,FAL
23,aaa,TAS
24,abap,PSML
25,ability to create documentation,TAS
26,abstractions,TAS
27,accelerometer,ET
28,accelerometers,ET
29,acceptance,TAS
30,acceptance criteria,TAS
31,access,DB
32,access control,TAS
33,access controls,TAS
34,access lists,TAS
35,access point,ET
36,access points,ET
37,access points catalyst,ET
38,accessibility,TAS
39,accessibility and security compliance,TAS
40,accessibility compliance,TAS
41,account and workstation setup,TAS
42,accumulo,DB
43,accuracy,TAS
44,aci,FAL
45,acl,TAS
46,acls,TAS
47,acquia infrastructure platform,CP
48,actionscript,PSML
49,active directory,FAL
50,active mq,FAL
51,active/active,TAS
52,active/standby,TAS
53,activemq,FAL
54,activepivot,FAL
55,activerecord,FAL
56,activity,TAS
57,ad,TAS
58,ad hoc analysis,TAS
59,ad/ldap,TAS
60,adaptability,TAS
61,adaptable to changing environments,TAS
62,adaptive design,TAS
63,adaptive layouts,TAS
64,addressbook,FAL
65,adfs,FAL
66,administration,TAS
67,adobe experience manager,FAL
68,adobe flex,FAL
69,adobe illustrator,FAL
70,adp,FAL
71,advanced analytics,TAS
72,advanced computer skills,TAS
73,advanced custom fields,FAL
74,advanced file permissions,TAS
75,advanced javascript,TAS
76,advanced javascript concepts,TAS
77,advanced software design,TAS
78,advanced software development,TAS
79,advanced statistical techniques,TAS
80,adversarial learning,TAS
81,advertising apis,TAS
82,aerospike,DB
83,afnetworking,FAL
84,aggregation,TAS
85,agile,FAL
86,agile delivery methodology,FAL
87,agile development,FAL
88,agile development methodologies,FAL
89,agile development methodology,FAL
90,agile development practices,FAL
91,agile development process,FAL
92,agile environment,FAL
93,agile methodologies,FAL
94,agile methodology,FAL
95,agile methods,FAL
96,agile practices,FAL
97,agile process,FAL
98,agile processes,FAL
99,agile scrum,FAL
100,agile software development,FAL
101,agile software development methodology,FAL
102,agile software engineering,FAL
103,agile xp,FAL
104,agile/scrum,FAL
105,agile/scruum,FAL
106,agility,TAS
107,ai,TAS
108,ai algorithms,TAS
109,ai artificial intelligence,TAS
110,ai ml,TAS
111,ai model deployment,TAS
112,ai software development life cycle,TAS
113,ai/ml,TAS
114,ai/ml algorithm,TAS
115,ai/ml algorithms,TAS
116,aiml,TAS
117,aiops,TAS
118,airflow,FAL
119,aironet,ET
120,ajax,FAL
121,akamai,CP
122,akka,FAL
123,alamofire,FAL
124,alarm manager,FAL
125,alb,CP
126,albert,FAL
127,alert issue resolution,TAS
128,alerting,TAS
129,alexa skill,FAL
130,algorithm,TAS
131,algorithm analysis,TAS
132,algorithm and data structures,TAS
133,algorithm application,TAS
134,algorithm based solutions,TAS
135,algorithm design,TAS
136,algorithm development,TAS
137,algorithm implementation,TAS
138,algorithmic,TAS
139,algorithms,TAS
140,algorithms and data structures,TAS
141,ali kubernetes,CP
142,ali rds,DB
143,ali redis,DB
144,alibaba,CP
145,alibaba cloud,CP
146,alicloud,CP
147,aliyun,CP
148,alwayson architecture,DB
149,alwayson high availability,DB
150,amazon,CP
151,amazon aurora,DB
152,amazon aws,CP
153,amazon aws lambda,CP
154,amazon cloud,CP
155,amazon cognito,CP
156,amazon dynamo db,DB
157,amazon dynamodb,DB
158,amazon ec2,CP
159,amazon ec2 container service,CP
160,amazon ecs,CP
161,amazon emr,CP
162,amazon gateway,CP
163,amazon lambda,CP
164,amazon s3,CP
165,amazon sagemaker,CP
166,amazon web service,CP
167,amazon web services,CP
168,amd,FAL
169,amd gpu,ET
170,amp,FAL
171,amplitude,FAL
172,amqp,TAS
173,anaconda,FAL
174,anaconda enterprise platform,FAL
175,analysis,TAS
176,analysis & optimization,TAS
177,analysis of performance issues,TAS
178,analysis of test results,TAS
179,analysis skills,TAS
180,analytic databases,DB
181,analytical,TAS
182,analytical abilities,TAS
183,analytical ability,TAS
184,analytical and problem solving skills,TAS
185,analytical and quantitative skills,TAS
186,analytical mindset,TAS
187,analytical problem solving,TAS
188,analytical problem statements,TAS
189,analytical skills,TAS
190,analytical techniques,TAS
191,analytical thinking,TAS
192,analytical trouble shooting,TAS
193,analytics,TAS
194,analytics architecture,TAS
195,analytics flurry,FAL
196,analytics tools,TAS
197,analyzing,TAS
198,analyzing data,TAS
199,analyzing user stories/requirements,TAS
200,android,FAL
201,android api,FAL
202,android app development,TAS
203,android application development,TAS
204,android architecture components,FAL
205,android development,TAS
206,android framework,FAL
207,android layouts,FAL
208,android native,TAS
209,android ndk,FAL
210,android os,FAL
211,android sdk,FAL
212,android sdk api,FAL
213,android studio,FAL
214,android ui,FAL
215,android x,FAL
216,androidapplication development,TAS
217,angular,FAL
218,angular 2,FAL
219,angular 2+,FAL
220,angular 2/4,FAL
221,angular 4,FAL
222,angular 4+,FAL
223,angular 4/5,FAL
224,angular 6+,FAL
225,angular 8,FAL
226,angular 8+,FAL
227,angular 8.x+,FAL
228,angular bootstrap,FAL
229,angular framework,FAL
230,angular js,FAL
231,angular js 1.x,FAL
232,angular ui,FAL
233,angular.js,FAL
234,angular/react,FAL
235,angular/react.js,FAL
236,angular2,FAL
237,angular2+,FAL
238,angular4,FAL
239,angular4+,FAL
240,angular7,FAL
241,angularjs,FAL
242,angularjs 2.0,FAL
243,animation,TAS
244,animation framework,FAL
245,anjular.js,FAL
246,ann,TAS
247,anomaly detection,TAS
248,ansi sql,PSML
249,ansible,FAL
250,ansible tower,FAL
251,ant,FAL
252,antivirus console management,TAS
253,antivirus server management,TAS
254,anypoint platform,FAL
255,aop,TAS
256,apache,FAL
257,apache cassandra,DB
258,apache cordova,FAL
259,apache druid,DB
260,apache felix,FAL
261,apache httpd,FAL
262,apache ignite,DB
263,apache kafka,FAL
264,apache mesos,CP
265,apache sling,FAL
266,apache solr,FAL
267,apache spark,FAL
268,apache streaming,TAS
269,apache tile,FAL
270,apache tomcat,FAL
271,apache web server,FAL
272,apache webserver,FAL
273,apache2,FAL
274,apachemq,FAL
275,apex,PSML
276,apex code,PSML
277,api,FAL
278,api architecture,FAL
279,api automation,FAL
280,api building,FAL
281,api calling,FAL
282,api communication,FAL
283,api communications,FAL
284,api controllers,FAL
285,api creation and scaling,FAL
286,api design,FAL
287,api design and development,FAL
288,api development,FAL
289,api driven integration,FAL
290,api gateway,FAL
291,api gateways,FAL
292,api integration,FAL
293,api integrations,FAL
294,api management,FAL
295,api naming,FAL
296,api performance,FAL
